epoch,loss,f1,precision,recall,seconds,hyper_parameters
5,622.8578628003597,0.7508442435153347,0.7240506329113924,0.8163653663177926,100,"{'batch_size': '10', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.3.csv'}"
5,316.45620042458177,0.8160355729036185,0.7946902654867256,0.8544243577545195,100,"{'batch_size': '10', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.3.csv'}"
5,136.86447861231866,0.8162286617658748,0.8323353293413174,0.7935299714557564,100,"{'batch_size': '10', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.3.csv'}"
5,70.36245344346389,0.8247588760718267,0.8710725893824486,0.7649857278782112,100,"{'batch_size': '10', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.3.csv'}"
5,43.638877375051386,0.8343526342756757,0.8205828779599271,0.857278782112274,100,"{'batch_size': '10', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.3.csv'}"
-2,-2.0,0.7575944368389459,0.7693863789615644,0.7756628144119646,100,"{'batch_size': '10', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.3.csv'}"
-1,-1.0,0.6641099392777245,0.4985604606525911,0.9942583732057416,91,"{'batch_size': '12', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.05.csv'}"
5,545.4174934625627,0.6977722258014798,0.7212249208025343,0.6498572787821123,91,"{'batch_size': '12', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.05.csv'}"
5,302.5691622570157,0.8265347585134621,0.8568464730290456,0.7859181731684111,91,"{'batch_size': '12', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.05.csv'}"
5,139.30939731188118,0.8306659845488825,0.8703506907545164,0.7792578496669839,91,"{'batch_size': '12', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.05.csv'}"
5,61.02223451342434,0.8202259787306366,0.7947598253275109,0.8658420551855376,91,"{'batch_size': '12', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.05.csv'}"
5,36.11438579531387,0.8310071569993043,0.8171064604185623,0.8544243577545195,91,"{'batch_size': '12', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.05.csv'}"
-2,-2.0,0.7540459976691106,0.7678207739307535,0.7688647178789939,91,"{'batch_size': '12', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.05.csv'}"
-1,-1.0,0.32109360950968474,0.5884291592225649,0.4246183206106871,85,"{'batch_size': '16', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.3.csv'}"
5,394.50545382499695,0.761515347751547,0.7184313725490196,0.8715509039010466,85,"{'batch_size': '16', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.3.csv'}"
5,201.88995544984937,0.7709693162536532,0.8010526315789473,0.7240723120837298,85,"{'batch_size': '16', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.3.csv'}"
5,86.09940306656063,0.7996921556523783,0.8481848184818482,0.7335870599429115,85,"{'batch_size': '16', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.3.csv'}"
5,39.55579050024971,0.8349131420847824,0.8309859154929577,0.8420551855375833,85,"{'batch_size': '16', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.3.csv'}"
5,27.385833589825783,0.827236596762242,0.8407517309594461,0.8087535680304472,85,"{'batch_size': '16', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.3.csv'}"
-2,-2.0,0.7493633526810224,0.7635869565217391,0.7641060503059144,85,"{'batch_size': '16', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.3.csv'}"
-1,-1.0,0.6679377184620274,0.5014312977099237,1.0,95,"{'batch_size': '16', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.4.csv'}"
5,412.519620269537,0.7774309863286153,0.7618621307072516,0.8097050428163654,95,"{'batch_size': '16', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.4.csv'}"
5,204.27829156816009,0.7910698277069415,0.8224789915966386,0.7450047573739296,95,"{'batch_size': '16', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.4.csv'}"
5,77.40051680058241,0.8152815767603977,0.8306772908366534,0.7935299714557564,95,"{'batch_size': '16', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.4.csv'}"
5,38.11871958896518,0.8217561017231992,0.8516597510373444,0.7811607992388202,95,"{'batch_size': '16', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.4.csv'}"
5,22.77073363028467,0.8411145615538631,0.8367729831144465,0.8487155090390105,95,"{'batch_size': '16', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.4.csv'}"
-2,-2.0,0.7622668191068378,0.7651663405088063,0.7974167233174712,95,"{'batch_size': '16', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.4.csv'}"
-1,-1.0,0.0,0.0,0.0,103,"{'batch_size': '8', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.15.csv'}"
5,796.5985389873385,0.7640171832788308,0.8006465517241379,0.7069457659372027,103,"{'batch_size': '8', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.15.csv'}"
5,397.2428843863309,0.8372974945371905,0.8446601941747572,0.8277830637488106,103,"{'batch_size': '8', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.15.csv'}"
5,171.2093694712967,0.8137983476808599,0.7833904109589042,0.8705994291151284,103,"{'batch_size': '8', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.15.csv'}"
